forecast,realized,date,asset_id,model
0.0,-0.0073,2023-01-03,SMALL LoBM,zero
0.0,-0.0098,2023-01-03,ME1 BM2,zero
0.0,-0.0001,2023-01-03,ME1 BM3,zero
0.0,-0.004699999999999999,2023-01-03,ME1 BM4,zero
0.0,-0.0043,2023-01-03,SMALL HiBM,zero
0.0,-0.0049,2023-01-03,ME2 BM1,zero
0.0,-0.005600000000000001,2023-01-03,ME2 BM2,zero
0.0,-0.0024,2023-01-03,ME2 BM3,zero
0.0,0.0013,2023-01-03,ME2 BM4,zero
0.0,-0.005,2023-01-03,ME2 BM5,zero
0.0,-0.0068000000000000005,2023-01-03,ME3 BM1,zero
0.0,-0.0036,2023-01-03,ME3 BM2,zero
0.0,-0.001,2023-01-03,ME3 BM3,zero
0.0,-0.008,2023-01-03,ME3 BM4,zero
0.0,-0.0121,2023-01-03,ME3 BM5,zero
0.0,-0.0072,2023-01-03,ME4 BM1,zero
0.0,-0.0023,2023-01-03,ME4 BM2,zero
0.0,-0.0026,2023-01-03,ME4 BM3,zero
0.0,-0.0031,2023-01-03,ME4 BM4,zero
0.0,-0.0173,2023-01-03,ME4 BM5,zero
0.0,-0.0070999999999999995,2023-01-03,BIG LoBM,zero
0.0,0.0002,2023-01-03,ME5 BM2,zero
0.0,0.002,2023-01-03,ME5 BM3,zero
0.0,-0.0113,2023-01-03,ME5 BM4,zero
0.0,0.0036,2023-01-03,BIG HiBM,zero
0.0,0.0064,2023-01-04,SMALL LoBM,zero
0.0,0.0203,2023-01-04,ME1 BM2,zero
0.0,0.0217,2023-01-04,ME1 BM3,zero
0.0,0.0143,2023-01-04,ME1 BM4,zero
0.0,0.0096,2023-01-04,SMALL HiBM,zero
0.0,0.016399999999999998,2023-01-04,ME2 BM1,zero
0.0,0.0206,2023-01-04,ME2 BM2,zero
0.0,0.0143,2023-01-04,ME2 BM3,zero
0.0,0.0148,2023-01-04,ME2 BM4,zero
0.0,0.008,2023-01-04,ME2 BM5,zero
0.0,0.0154,2023-01-04,ME3 BM1,zero
0.0,0.0174,2023-01-04,ME3 BM2,zero
0.0,0.0149,2023-01-04,ME3 BM3,zero
0.0,0.011699999999999999,2023-01-04,ME3 BM4,zero
0.0,0.0096,2023-01-04,ME3 BM5,zero
0.0,0.011000000000000001,2023-01-04,ME4 BM1,zero
0.0,0.016,2023-01-04,ME4 BM2,zero
0.0,0.0167,2023-01-04,ME4 BM3,zero
0.0,0.0196,2023-01-04,ME4 BM4,zero
0.0,0.0178,2023-01-04,ME4 BM5,zero
0.0,0.004,2023-01-04,BIG LoBM,zero
0.0,0.005699999999999999,2023-01-04,ME5 BM2,zero
0.0,0.0168,2023-01-04,ME5 BM3,zero
0.0,0.005,2023-01-04,ME5 BM4,zero
0.0,0.0165,2023-01-04,BIG HiBM,zero
0.0,-0.0151,2023-01-05,SMALL LoBM,zero
0.0,-0.0069,2023-01-05,ME1 BM2,zero
0.0,-0.0121,2023-01-05,ME1 BM3,zero
0.0,-0.0033,2023-01-05,ME1 BM4,zero
0.0,-0.005699999999999999,2023-01-05,SMALL HiBM,zero
0.0,-0.013999999999999999,2023-01-05,ME2 BM1,zero
0.0,-0.0131,2023-01-05,ME2 BM2,zero
0.0,-0.0109,2023-01-05,ME2 BM3,zero
0.0,-0.0085,2023-01-05,ME2 BM4,zero
0.0,-0.0068000000000000005,2023-01-05,ME2 BM5,zero
0.0,-0.0195,2023-01-05,ME3 BM1,zero
0.0,-0.011200000000000002,2023-01-05,ME3 BM2,zero
0.0,-0.0088,2023-01-05,ME3 BM3,zero
0.0,-0.0034999999999999996,2023-01-05,ME3 BM4,zero
0.0,-0.0037,2023-01-05,ME3 BM5,zero
0.0,-0.0183,2023-01-05,ME4 BM1,zero
0.0,-0.0091,2023-01-05,ME4 BM2,zero
0.0,-0.008,2023-01-05,ME4 BM3,zero
0.0,-0.0054,2023-01-05,ME4 BM4,zero
0.0,-0.0087,2023-01-05,ME4 BM5,zero
0.0,-0.017,2023-01-05,BIG LoBM,zero
0.0,-0.011699999999999999,2023-01-05,ME5 BM2,zero
0.0,-0.005,2023-01-05,ME5 BM3,zero
