model,r2_oos,mae,rmse,dir_acc,f1,ann_return,ann_vol,sharpe,max_dd,max_dd_1d,n_obs,n_dates
zero,0.0,0.00991624,0.012728826560213633,0.47968,0.3241782006920415,,,,,,6250,250
mean,0.0024865388835998425,0.009905283198894074,0.012712991349277602,0.52032,0.3422437381603873,0.06397439999999997,0.11932810018724505,0.5361218346694017,-0.14166170784523224,-0.03213333333333334,6250,250
ridge,0.0035757806109293355,0.009922988266887558,0.012706048433975664,0.5008,0.4250954842694922,-0.116592,0.1537805753318591,-0.758171178306454,-0.246028948412933,-0.025166666666666664,6250,250
lightgbm,-0.000645169660554723,0.009918695120647714,0.012732932024495708,0.51952,0.4038542295071407,0.12344639999999998,0.11584938586085533,1.0655766457689235,-0.08446246522604961,-0.023333333333333327,6250,250
catboost,0.0016580533804158026,0.009898443455926364,0.012718269645462731,0.5104,0.4776038029241294,0.16820159999999998,0.12428947070784133,1.353305304480537,-0.10733072614691508,-0.025266666666666666,6250,250
chronos-bolt-21,-0.148892542891796,0.010630311535321907,0.013643571595759175,0.4904,0.48996273566860304,-0.01673279999999999,0.13631917065192597,-0.12274722564682491,-0.1471211979038639,-0.025816666666666665,6250,250
chronos-bolt-252,-0.019117030133155133,0.010043790361631007,0.01284991924732059,0.48368,0.4835974945782697,-0.02209200000000004,0.13914172063650335,-0.15877337076859663,-0.12956102016493865,-0.023599999999999996,6250,250
chronos-2-21,-0.16970515640433614,0.010696488205513954,0.013766596111622937,0.48896,0.4882303097685214,0.18012959999999997,0.1328671740713364,1.3557118322038548,-0.07363022501811856,-0.027450000000000002,6250,250
chronos-2-252,-0.02246737022668044,0.010078091779952525,0.012871023925912115,0.45312,0.44482422062806315,-0.04184879999999999,0.12969640341007935,-0.32266739014867485,-0.1158717445110311,-0.03001666666666666,6250,250
timesfm-2.5-21,-0.14373537073686005,0.010629065598437406,0.013612915384021299,0.49168,0.488995514381072,0.06172319999999999,0.1350202772622241,0.4571402255390633,-0.1683459285499591,-0.02495,6250,250
timesfm-2.5-252,-0.011062439446258399,0.009995574982896448,0.012799038851007506,0.48736,0.480581180505523,-0.08084159999999994,0.14126229190828218,-0.5722801103389165,-0.17027671300852187,-0.022966666666666666,6250,250
timesfm-2.5-xreg-21,-0.26171782993955195,0.010995539890953001,0.014297808932150144,0.50672,0.5042292604964652,0.13686959999999998,0.14379790369245785,0.9518191606793136,-0.10399114418440247,-0.024250000000000004,6250,250
timesfm-2.5-xreg-252,-0.014238062941670293,0.010058237540496935,0.012819123200768945,0.48176,0.48079820900356374,0.10652879999999997,0.14147702768552542,0.7529759547733204,-0.13441700043882243,-0.02495,6250,250
