model,fit_seconds,n_calls,predict_mean,p50,p95,p99,assets_per_sec,bars_per_sec,total_predict_seconds
zero,0.047742499999003485,391,3.568618923075535e-05,3.270000161137432e-05,4.5650005631614476e-05,8.879000524757432e-05,280220.44985912147,28022.044985912144,0.013953299989225343
mean,0.000446999998530373,391,5.5863427275451155e-05,5.2499992307275534e-05,7.090000144671649e-05,0.00011093999928561979,179007.99302362962,17900.79930236296,0.0218426000647014
ridge,0.010370699994382448,391,0.00037878925789712123,0.00034619998768903315,0.0005698499953723513,0.0006794800036004745,26399.90388195219,2639.9903881952187,0.1481065998377744
lightgbm,2.940781199999037,391,0.0010769416878754368,0.0011078000097768381,0.0011769499978981912,0.0012835899993660863,9285.553816500265,928.5553816500266,0.4210841999592958
chronos-bolt-60,1.9899991457350552e-05,391,0.053158722251117445,0.04606769999372773,0.048176550000789575,0.04927414000849242,188.11588346237556,18.811588346237556,20.78506040018692
chronos-bolt-252,1.9899991457350552e-05,391,0.07623143452702744,0.07558289999724366,0.07831315000657924,0.07941418999398593,131.17948077514603,13.117948077514605,29.80649090006773
chronos-2-60,2.2100008209235966e-05,391,0.1597769166238855,0.15879669999412727,0.16320324999833247,0.16823583000077635,62.58726361292838,6.2587263612928385,62.472774399939226
chronos-2-252,2.059999678749591e-05,391,0.37912502429657824,0.37751510000089183,0.3886782000045059,0.4099906300005388,26.376523202481344,2.637652320248135,148.2378844999621
timesfm-2.5-60,2.1900006686337292e-05,391,0.07677009590791867,0.06863609999709297,0.08540345000074012,0.10432355999655574,130.25905310831482,13.025905310831481,30.0171074999962
timesfm-2.5-252,1.7099999240599573e-05,391,0.08637767953990513,0.08198269999411423,0.10314620000281138,0.11470293999591383,115.77064877483953,11.577064877483954,33.77367270010291
timesfm-2.5-xreg-60,2.1100000594742596e-05,391,0.08767441227605455,0.08194590000493918,0.10086395000689663,0.11983735000540041,114.05836367073292,11.405836367073292,34.28069519993733
timesfm-2.5-xreg-252,2.2599997464567423e-05,391,0.09232282992328822,0.08722719999786932,0.10232539999560686,0.11086813999281757,108.31557057240425,10.831557057240424,36.098226500005694
